country,level_pair,parent_level,child_level,parent_count,child_count,parents_with_children,parents_without_children,parents_with_gaps,gap_piece_count,total_gap_area,child_without_parent_link,child_parent_not_found,operation_errors
Afghanistan,0-1,0,1,1,34,1,0,0,0,0.0,0,0,0
Afghanistan,1-2,1,2,34,401,34,0,0,0,0.0,0,0,0
Albania,0-1,0,1,1,12,1,0,0,0,0.0,0,0,0
Albania,1-2,1,2,12,61,12,0,0,0,0.0,0,0,0
Algeria,0-1,0,1,1,48,1,0,0,0,0.0,0,0,0
Algeria,1-2,1,2,48,1541,48,0,0,0,0.0,0,0,0
Argentina,0-1,0,1,1,24,1,0,0,0,0.0,0,0,0
Argentina,1-2,1,2,24,526,24,0,0,0,0.0,0,0,0
Armenia,0-1,0,1,1,11,1,0,0,0,0.0,0,0,0
Armenia,1-2,1,2,11,40,11,0,0,0,0.0,0,0,0
Australia,0-1,0,1,1,10,1,0,0,0,0.0,0,0,0
Australia,1-2,1,2,10,2452,10,0,0,0,0.0,0,0,0
Azerbaijan,0-1,0,1,1,14,1,0,0,0,0.0,0,0,0
Azerbaijan,1-2,1,2,14,74,14,0,0,0,0.0,0,0,0
Bangladesh,0-1,0,1,1,8,1,0,0,0,0.0,0,0,0
Bangladesh,1-2,1,2,8,64,8,0,0,0,0.0,0,0,0
Belarus,0-1,0,1,1,7,1,0,0,0,0.0,0,0,0
Belarus,1-2,1,2,7,119,7,0,0,0,0.0,0,0,0
Belgium,0-1,0,1,1,3,1,0,0,0,0.0,0,0,0
Belgium,1-2,1,2,3,11,3,0,0,0,0.0,0,0,0
Belize,0-1,0,1,0,6,0,0,0,0,0.0,0,6,0
Belize,1-2,1,2,6,30,2,4,4,5,1.2116578226041839,0,16,0
Benin,0-1,0,1,1,12,1,0,0,0,0.0,0,0,0
Benin,1-2,1,2,12,77,12,0,0,0,0.0,0,0,0
Bhutan,0-1,0,1,1,20,1,0,0,0,0.0,0,0,0
Bhutan,1-2,1,2,20,205,20,0,0,0,0.0,0,0,0
Bolivia,0-1,0,1,1,9,1,0,0,0,0.0,0,0,0
Bolivia,1-2,1,2,9,112,9,0,0,0,0.0,0,0,0
Bosnia and Herzegovina,0-1,0,1,1,3,1,0,0,0,0.0,0,0,0
Bosnia and Herzegovina,1-2,1,2,3,12,3,0,0,0,0.0,0,0,0
Brazil,0-1,0,1,1,27,1,0,0,0,0.0,0,0,0
Brazil,1-2,1,2,27,5570,27,0,0,0,0.0,0,0,0
Bulgaria,0-1,0,1,1,28,1,0,0,0,0.0,0,0,0
Bulgaria,1-2,1,2,28,265,28,0,0,0,0.0,0,0,0
Burkina Faso,0-1,0,1,0,13,0,0,0,0,0.0,0,13,0
Burkina Faso,1-2,1,2,13,45,13,0,0,0,0.0,0,0,0
